startup_id,startup_name,industry,location,market_size_estimate,market_growth_rate,founder_experience_years,founder_previous_exits,founder_education_level,team_size,monthly_active_users,revenue_last_month,growth_rate_last_3_months,pilot_partnerships,funding_rounds,total_funding_received,investors_count,status,pitch_deck_summary,vision_statement,problem_statement,succeeded_in_funding
29,Smith Inc,Healthtech,Mumbai,4211427707,3.26,17,1,PhD,185,116294,45085554,49.03,True,0,0,0,Closed,"Rise work finish today. Cold great house card need throw.
Individual lose peace necessary owner. Born two garden hotel model long sell low. Family road sit everything moment two member camera.",Up-sized encompassing leverage,expedite killer technologies,False
30,Roberts PLC,Edtech,Delhi,2653982164,6.25,1,2,PhD,132,27641,42642984,20.04,True,1,239716892,3,Active,"Attack think scene short across town design. Common up while message assume need poor.
Window how street high. Anyone force option where measure shoulder several. Test increase drive night.",Versatile modular Internet solution,disintermediate back-end mindshare,True
31,Fisher and Sons,SaaS,Hyderabad,1897299057,13.46,2,2,Masters,159,11729,10202257,16.47,False,0,417869879,9,Active,"Dog find cup baby idea. Goal Congress number form peace. Machine relate knowledge person left sell. Ahead small allow feeling.
Sometimes letter happen degree book child. Finish size not control recognize.",Enhanced 24/7 instruction set,e-enable sticky markets,True
32,Zavala Ltd,Agritech,Kolkata,2544002735,12.4,10,2,PhD,30,236362,26668609,43.42,True,0,0,0,Acquired,"Difficult no his law street. Fine church remember stand study film special.
Line here miss office anything indicate. Sure thus five base thousand like class down. Travel among actually two bank born ready.
East meeting fine character off.",Profit-focused needs-based concept,productize strategic initiatives,False
33,Benton LLC,E-commerce,Mumbai,3196198905,3.09,4,0,MBA,24,265512,36263447,35.25,True,0,0,0,Closed,"Reflect measure long certainly guess sure. Easy seat alone discussion.
Society exist happy listen effect enough. Cup send establish enough stage line clear. Significant bring improve suffer situation.",Versatile modular complexity,maximize compelling platforms,False
34,Andrews and Sons,E-commerce,Hyderabad,4822543819,18.07,15,1,Bachelors,292,143038,659150,2.28,True,0,0,0,Closed,"Budget site kitchen present a that. Begin from very nice.
Question have hotel security. Many culture direction occur behavior school.
Able customer add agent. On these week kind.",Synergized dedicated knowledge user,mesh ubiquitous mindshare,False
35,Daniel-Powell,Fintech,Hyderabad,2230685308,17.26,17,1,Bachelors,275,358429,25060090,6.79,True,0,183657310,8,Active,"Ready development camera full. Citizen beyond arrive among born country.
Run individual land might. Thing world someone particular seem how measure.",Fundamental bi-directional parallelism,re-intermediate innovative bandwidth,True
36,"Callahan, Johnson and Robinson",Healthtech,Hyderabad,1926944235,19.41,7,1,MBA,51,212810,31540803,7.07,False,0,0,0,Acquired,"Foreign he door. New Mrs lot quickly bank heavy doctor kind. Bed fine TV.
Result son live network. Responsibility community organization fund magazine.",Right-sized intermediate toolset,transform sticky web-readiness,False
37,Aguirre PLC,Edtech,Kolkata,4069162601,8.49,17,2,Masters,279,29251,41532233,4.38,False,0,0,0,Active,Fill religious against situation long. Interview learn likely individual prevent bar. Share throw student community light ask before.,Right-sized clear-thinking website,aggregate plug-and-play info-mediaries,False
38,"Barnes, Cook and Cardenas",E-commerce,Mumbai,1347346749,17.21,9,0,Bachelors,133,329761,38508937,8.24,False,1,913818004,6,Active,"Mr ten machine heart third. Lead nation particularly must reveal already wonder. Kid soldier like wide.
Real firm buy technology. Accept term spring player deal relationship. Address total responsibility tonight.",Secured holistic help-desk,implement open-source architectures,True
39,"Williams, Brown and Romero",SaaS,Ahmedabad,3835526119,18.89,1,0,PhD,196,141734,10084901,36.64,True,0,0,0,Closed,"Your system claim white article election. House line movement. Before fill environmental worker response near company could.
Her type little network. You page field way tell reality.",Open-source value-added concept,engineer innovative paradigms,False
40,Price-Sanchez,Healthtech,Bangalore,2528891023,5.7,14,0,PhD,51,341976,46226125,35.33,False,3,284127673,5,Acquired,"Image level line character bring. Hand style product phone. Explain wife opportunity growth discover.
Seven response single in pay great crime author.
Laugh sure treatment main. Knowledge hotel race pay community.
People run structure analysis.",Face-to-face reciprocal website,aggregate user-centric web services,True
41,Beck-Anthony,E-commerce,Hyderabad,2995758845,10.38,10,1,Masters,104,69385,46797763,19.04,False,1,744396352,3,Acquired,"Cultural writer power two meeting might. Real foreign letter dark really president. Food test first position gas strong. Week budget hundred minute energy though.
Challenge feeling eight house. Across note out.",Multi-tiered exuding paradigm,engineer impactful web-readiness,True
42,George-Wilson,SaaS,Delhi,3316608503,14.2,4,2,MBA,262,95704,33613547,29.5,False,2,457870368,4,Acquired,"Information son put reveal writer baby. Possible black contain able development past.
Safe executive former many each ground ago like. Or economy remember individual list boy to.
Factor mind it anyone.",Total solution-oriented Internet solution,enable magnetic interfaces,True
43,Adams Ltd,Healthtech,Kolkata,3462592674,13.94,1,0,Bachelors,183,356754,17038708,31.48,True,0,593935313,1,Closed,"Drop employee response decade. Explain tend consider.
Green career never forget. Million boy plan political happen right computer.",Organized multi-state customer loyalty,unleash transparent applications,True
44,Garrett-Rice,Fintech,Mumbai,1887702570,6.33,13,2,Masters,257,355802,38144513,34.31,True,0,0,0,Active,"World organization make only certain range. Yourself force culture. Under full Democrat difficult.
Seat yeah news sort. Imagine get specific suffer business majority. Expert spend these board three enter.",Team-oriented actuating challenge,drive wireless e-business,False
45,Hernandez and Sons,Gaming,Kolkata,2655265884,17.36,2,2,Masters,109,283502,37762003,34.8,False,1,296748071,8,Acquired,"These not ball account. Trial lawyer she development company detail.
All huge figure me result generation. Quickly land page take probably.",Intuitive 24hour instruction set,repurpose web-enabled e-business,True
46,Howard Group,Edtech,Ahmedabad,4450924308,19.45,4,1,Bachelors,196,115352,27358975,6.82,False,0,0,0,Active,"Buy present those father feeling kid first. Thus rock mission seem ask her could give. This pressure skin strategy.
Care what our fly. Social unit consider seek. Send lot control anyone reason.",Up-sized directional core,deliver sticky convergence,False
47,Moran Inc,Gaming,Chennai,2463740055,17.74,5,0,PhD,187,72180,23777318,37.85,False,0,346433919,1,Acquired,"Sense option born future listen. Compare become out. Professional difficult young your environmental.
Civil environmental account occur state. Section explain member catch less toward international. Director human south personal walk wait.",Distributed non-volatile application,matrix virtual vortals,True
48,Clark-Sparks,E-commerce,Chennai,2673396952,8.44,19,0,Masters,104,410995,23273676,45.32,True,3,328882319,9,Closed,"Attorney something dark form. Nor everybody should again draw.
Degree skill growth world. Economic identify say different although clear kitchen. Throughout general general season. Dark ahead whole ever many human letter laugh.",Re-engineered client-driven algorithm,reinvent mission-critical paradigms,True
49,Taylor PLC,Fintech,Pune,3906704606,19.16,19,1,Bachelors,148,350044,37337243,16.77,True,2,859759597,5,Closed,"Time dinner she take marriage.
Most actually travel life financial.
By building near no ago. Management difference watch whether bit attorney seek.
Not now main institution fine charge plan.",Universal global definition,revolutionize web-enabled e-business,True
50,"Johnson, Wood and Matthews",Gaming,Delhi,4399806102,16.28,7,0,Bachelors,185,153617,23624649,3.35,True,0,0,0,Acquired,Chance stay child through customer why already. Serious civil whose guess hope. Almost health item evening data act.,Distributed intangible encryption,incubate sticky mindshare,False
51,"Mcpherson, Lewis and Andersen",Healthtech,Mumbai,4165543586,18.09,11,2,Masters,150,104150,10174811,34.56,False,1,823117220,1,Acquired,"Decade pass many bring say maintain store still. Identify offer toward summer firm likely. Themselves heart street instead interview west.
Less kind crime understand. Production know piece win drop close write center.",Synergistic contextually-based approach,grow 24/365 e-tailers,True
52,Robbins-Parrish,E-commerce,Bangalore,2830048941,14.92,10,0,Bachelors,287,282209,25693137,4.53,False,4,361735974,6,Closed,"Marriage its dog wind official off.
Goal help for economic weight school. Point page lawyer blue trouble child she himself. Reach Mrs within western language stay.
Rock change nothing its few. Reach hour offer deep strategy west.",Digitized 5thgeneration attitude,revolutionize innovative interfaces,True
53,"Freeman, Myers and Becker",Agritech,Chennai,2607480815,17.67,17,2,Masters,221,395540,14519187,17.84,False,0,0,0,Acquired,"Increase war official will accept.
Standard about safe several. Might medical reduce face mouth common world. Such nearly whom of animal surface agree travel.",Synergized bottom-line architecture,engage innovative convergence,False
54,"Mason, Mcgee and Carlson",AI/ML,Ahmedabad,3068743954,16.21,7,2,Masters,206,449345,9147682,6.0,False,0,0,0,Active,This fast thousand stop argue father available. Summer couple understand before. Result can page card.,Monitored maximized hardware,aggregate plug-and-play applications,False
55,"Greene, Murphy and Cochran",Agritech,Mumbai,2740329713,10.97,8,0,Bachelors,5,40298,22531804,12.26,False,0,49263532,1,Closed,"Company later employee vote special them. These act campaign investment fear similar.
Good later travel want care open foreign.",Profit-focused holistic model,grow real-time metrics,True
56,Long-Whitaker,Healthtech,Mumbai,1960336805,10.42,12,0,Masters,164,416916,43760190,44.61,False,4,122348736,5,Acquired,"Happy happy relate another seem inside.
National worker decide camera see leave. Like treatment common remain shake age reason mind.",Down-sized demand-driven capability,utilize collaborative convergence,True
57,Patton-Moss,Agritech,Mumbai,1323988920,11.89,9,0,Masters,18,260214,6091950,49.79,False,2,839784370,7,Active,"Car until exactly nice deep. Moment office sign hand investment.
Full edge right nature human. Receive doctor product police answer black behavior card.
Risk while use. News interview stay look father individual. Church strategy parent.",Reduced optimal archive,extend plug-and-play users,True
58,Wheeler Inc,Edtech,Kolkata,1248523535,18.13,12,0,MBA,12,10337,2677867,32.52,True,1,133485867,2,Closed,"Machine truth reality tonight unit. Even act indicate work light can boy. Own off air court.
Resource weight crime girl law especially find respond. Carry tend lot career. Number wait cell group.",Persistent upward-trending monitoring,maximize dynamic bandwidth,True
59,Joseph and Sons,AI/ML,Mumbai,2116476131,19.77,17,0,Masters,216,167619,22913535,8.55,False,2,474428548,6,Acquired,"Up approach data our scene together strategy. Leg popular prevent individual many. Amount bring difficult life most discuss.
Onto pretty improve offer image president officer too. Identify open section. Late rock claim wrong story board first.",Public-key systematic model,grow granular communities,True
60,Morales-Glenn,Healthtech,Delhi,4116941567,12.88,2,1,MBA,290,418009,20251658,2.74,False,0,0,0,Closed,"Partner recognize reach write only. Front occur lay structure. Ever end medical fast easy away understand. Building support guy.
Wall federal culture entire power. Laugh possible herself simple for create.
Increase throw consider. Tax who new.",Triple-buffered stable moderator,maximize best-of-breed eyeballs,False
61,Cross Inc,E-commerce,Pune,4339776373,16.78,15,0,Masters,271,63292,25311054,19.95,False,2,543656000,1,Closed,"Strong eight sea full owner. Body entire fish. Safe today fly carry example pull. Store cultural offer opportunity blood.
Break assume talk down director free ok. Ground teacher everybody write fish whatever. Listen western along product.",Digitized fault-tolerant project,re-contextualize robust portals,True
62,"Watson, Johnson and Wu",Gaming,Chennai,3013021793,3.63,1,0,Bachelors,10,275907,1732320,26.95,True,0,0,0,Closed,"Western wall trip citizen be artist sing. These realize administration but system personal.
Language threat successful. Around food instead drug full minute avoid. Happy forget indeed late become the participant.",Programmable radical paradigm,deliver B2B ROI,False
63,"Robbins, Campbell and James",SaaS,Chennai,4922017026,12.44,5,0,Bachelors,169,5809,25339097,19.2,True,0,0,0,Active,"Enjoy save reveal their course. Drug age lose act record. Suggest economy mouth forget six yes school.
Tonight think window human why. Beautiful garden same act. Either deep certainly between.",Enhanced asynchronous access,expedite global functionalities,False
64,"Wright, Wright and Daniels",Edtech,Chennai,1554735469,7.27,13,0,Masters,264,22949,13842640,33.75,False,1,881162984,8,Closed,Difficult yard fly child customer. Career commercial worker voice professor ask. Join bank want administration approach. One race two point box they.,Object-based multimedia throughput,productize bricks-and-clicks methodologies,True
65,Olson-Daniels,SaaS,Bangalore,3045309365,16.13,18,0,Bachelors,58,337107,44176109,43.89,True,0,87720897,1,Closed,"Attention minute later break popular sport effort. Production community perhaps apply president. Plant reflect later care arrive more actually.
Professor consumer year stage medical me if fact. Any peace one.",Organized grid-enabled middleware,expedite global convergence,True
66,Morgan-Hernandez,Edtech,Bangalore,2806187414,15.84,14,1,MBA,79,316826,48850101,31.05,True,1,124120654,6,Active,"None say consumer dark past consider. Identify which like speech something situation loss back. Spring situation when wait day level.
Wind military customer you. Anyone artist research still future.",Grass-roots regional matrices,synergize global web services,True
67,Mckenzie LLC,Edtech,Bangalore,3734366545,9.67,19,2,MBA,253,316557,10330855,45.57,False,0,0,0,Acquired,"Sell factor memory control. Series economy add voice choice discuss.
Training ready inside treatment support instead store evidence. Its none receive little baby. Trial eye sound pay minute lose serve.",Future-proofed intermediate capability,synergize end-to-end markets,False
68,"Griffith, Stanley and Figueroa",Agritech,Hyderabad,4703823922,14.86,4,1,Masters,188,217464,33258585,38.56,True,3,101870985,8,Active,"Water large must far computer ball various. Provide arm beautiful board born region pass.
Pay own range tonight together. Memory kind natural cultural.
Study report prevent whom. My positive north knowledge news.",Networked non-volatile help-desk,implement web-enabled interfaces,True
69,Sanchez and Sons,SaaS,Delhi,3115778612,8.91,11,2,Masters,244,46002,25837438,6.88,True,2,519356453,6,Acquired,"Myself other tough guess. Outside measure me same career black.
Model less Mrs work baby test relationship. Nor brother others certain meeting item cup.",Distributed optimizing structure,integrate end-to-end relationships,True
70,Callahan-Blevins,SaaS,Bangalore,1773383043,6.09,3,2,Masters,159,332868,18737583,9.03,False,0,0,0,Active,"Republican company develop organization per into. Get win character.
Western president want college gas purpose. Pay full impact reflect field want decide cover. Activity hour meet ok.",Reactive zero tolerance structure,re-intermediate efficient convergence,False
71,Rodriguez-Lee,E-commerce,Chennai,4529563924,5.87,10,0,Masters,26,342396,7914069,6.47,True,0,176029362,2,Active,"Join with prove.
Garden picture find without movie know. Police lawyer sea safe face agree Mrs why. The push prove throw figure notice.",Exclusive clear-thinking architecture,enable visionary markets,True
72,Sullivan Group,Fintech,Kolkata,3965223212,8.47,15,0,Masters,218,404694,3135354,46.08,True,4,344524793,1,Active,"Personal help rather career campaign. True many hour risk boy away.
Environment today some provide far she. Base father nation. Number water whether agree room write then. Impact avoid national sign never answer benefit.",Polarized client-server throughput,visualize 24/365 functionalities,True
73,"Williams, Terry and Barker",Agritech,Chennai,1362997767,15.72,15,2,Masters,131,394271,645605,12.19,True,3,241882656,7,Acquired,"Both result Democrat if act similar difficult. Which our picture reveal.
Last structure analysis individual point two again. Space agency collection fast.",Optimized maximized neural-net,exploit turn-key technologies,True
74,Chavez PLC,E-commerce,Ahmedabad,4210363244,4.06,19,2,MBA,7,281174,2976422,25.83,False,3,947609249,2,Acquired,"Person finally education. Chance pass feel find. Water there our.
Behind four commercial billion college threat nor. Mother doctor the something fear team.",Enterprise-wide holistic help-desk,benchmark wireless channels,True
75,Murphy PLC,AI/ML,Pune,2705805682,7.12,5,1,PhD,43,248736,35757046,4.92,False,3,140590082,9,Acquired,"Though strategy able. Me certainly official team. Program couple visit affect system.
Public TV along character will at. Opportunity tend opportunity military make you challenge training. Hope full billion mean child require production computer.",User-friendly maximized solution,engineer open-source paradigms,True
76,"Frye, Young and Duffy",Healthtech,Chennai,3549460179,11.06,10,2,Masters,237,126036,46533537,4.8,False,0,0,0,Acquired,"Success try serve direction rather second old. Exactly industry enough piece outside system should season. Sea individual kitchen research TV.
Like too wonder much. Total box argue cold.",Extended responsive artificial intelligence,integrate mission-critical niches,False
77,Davis Ltd,Healthtech,Ahmedabad,3395484782,15.67,17,2,MBA,46,363920,40046964,18.47,False,1,373479745,2,Active,"Son pretty ability. Policy direction floor TV. Politics save trouble probably strong.
Hard beyond radio other relate manager coach. This hour great major. Night scientist assume church number happen improve.",Expanded radical model,synthesize open-source experiences,True
78,Zimmerman-Phillips,Healthtech,Ahmedabad,3601783012,18.87,6,1,Masters,116,159211,30364781,9.74,False,0,345594085,7,Acquired,Lay reflect action surface. Remain write learn reduce for. Protect reason against state soon better knowledge movie. Pull school effort region.,Enhanced needs-based emulation,seize extensible info-mediaries,True
79,Leonard PLC,SaaS,Bangalore,2762640935,14.85,6,1,Masters,224,160818,26347283,0.76,False,0,78850878,8,Active,"Community something sign technology plan up foot. Subject trial yeah throughout policy few nothing. Become audience defense.
Wear take daughter trial. Operation know drop place pull.
Open hope else.",Centralized optimizing firmware,unleash 24/7 functionalities,True
80,Kirk-Barton,Healthtech,Pune,4525573181,18.8,15,2,MBA,30,309658,44924860,38.59,True,0,0,0,Closed,"Baby total pattern success case. Close free for.
Catch finally benefit visit. Accept wind recently year account bring. Oil exist cover join onto half yeah.",Profound solution-oriented database,revolutionize value-added schemas,False
81,Decker Inc,AI/ML,Chennai,4053517635,10.23,1,0,PhD,144,390678,17641232,30.73,False,4,316949909,4,Active,"Pick address of since low here election. Us finally popular include population. After decision air authority science seem.
Poor PM detail report third by less would. Prevent life eye themselves. Drop bit water kitchen.",Total radical parallelism,engineer out-of-the-box functionalities,True
82,"Green, Smith and Moore",AI/ML,Delhi,1222580384,9.28,10,0,Masters,142,396435,42331932,34.39,False,3,403724834,1,Closed,"Personal industry watch occur.
Business yet possible suddenly think house. Yet of special value American.",Vision-oriented 24hour support,aggregate wireless supply-chains,True
83,Mcgrath-Payne,SaaS,Delhi,4265153808,4.98,15,1,MBA,98,43078,32884288,42.61,False,3,12143208,2,Closed,"Response manager pick near down however large choose. Similar ten whether kid.
Thousand himself rock. According bag increase weight discuss defense. Health reduce money low human policy movement.",Profit-focused actuating website,revolutionize dynamic niches,True
84,Jenkins PLC,Fintech,Chennai,1880476065,6.08,3,0,MBA,64,138023,1145964,7.42,True,0,992068247,5,Active,"Authority across find paper. Couple modern hear group yard step artist. At cultural positive.
Long recent price risk thought oil. Professor discover least one type indeed central throughout. Tree country seven.",Fully-configurable web-enabled framework,synthesize B2B content,True
85,Alvarez Ltd,Agritech,Kolkata,4543917858,5.79,5,2,PhD,82,126501,15886696,43.92,False,0,703396925,2,Closed,"Economic fish song argue camera. Side future five dark list.
Same spring and opportunity develop western girl. Offer senior former surface develop international.
Listen learn discover star structure free discuss fine. Social nothing likely southern.",Profound 5thgeneration workforce,transform end-to-end niches,True
86,"Pearson, Clark and Phillips",E-commerce,Kolkata,2886070054,15.13,19,0,Masters,27,103974,11693982,29.09,True,0,0,0,Active,"Full explain official black continue. Already world standard nation plant. Yard could above act cold. Try piece beyond note human talk.
Number approach young onto down walk land. Themselves remember else fill pull front.",Operative composite extranet,orchestrate out-of-the-box platforms,False
87,"Fowler, Quinn and Cooper",Agritech,Mumbai,2648800246,12.04,8,2,Masters,43,330650,41469909,47.02,False,2,608161038,8,Acquired,"Close drug guess suggest. Just go history everybody. Able boy a authority weight foreign often structure.
Culture black note rock identify might appear.
Grow feel change bit staff. Likely wall somebody point. Expect effort night road capital wait.",Team-oriented value-added utilization,engage open-source bandwidth,True
88,Frazier-Mills,E-commerce,Delhi,1716103155,16.5,1,1,Bachelors,235,132994,31566003,49.89,True,0,0,0,Acquired,"Nice type shake compare. Then loss live peace defense. Foreign member economy decision.
Successful nothing professor next. Mission by event instead recent.
Land rest program next. One admit step leave.",Customizable neutral budgetary management,facilitate leading-edge partnerships,False
